fecha_consulta,origen,destino,region,fecha_vuelo,precio_min
2026-09-09 20:33:27.050897,BUE,NYC,América,2026-10-09,868
2026-09-09 20:33:30.468203,BUE,NYC,América,2026-11-08,632
2026-09-09 20:33:35.448598,BUE,NYC,América,2026-12-08,338
2026-09-09 20:33:41.191818,BUE,NYC,América,2027-01-07,631
2026-09-09 20:33:45.285741,BUE,MIA,América,2026-10-09,468
2026-09-09 20:33:49.083449,BUE,MIA,América,2026-11-08,336
2026-09-09 20:33:52.447137,BUE,MIA,América,2026-12-08,277
2026-09-09 20:33:56.560703,BUE,MIA,América,2027-01-07,957
2026-09-09 20:33:59.720679,BUE,CUN,América,2026-10-09,361
2026-09-09 20:34:04.581310,BUE,CUN,América,2026-11-08,335
2026-09-09 20:34:07.965122,BUE,CUN,América,2026-12-08,414
2026-09-09 20:34:11.894586,BUE,CUN,América,2027-01-07,631
2026-09-09 20:34:16.565447,BUE,PUJ,América,2026-10-09,471
2026-09-09 20:34:20.718166,BUE,PUJ,América,2026-11-08,283
2026-09-09 20:34:25.538058,BUE,PUJ,América,2026-12-08,271
2026-09-09 20:34:31.417449,BUE,PUJ,América,2027-01-07,655
2026-09-09 20:34:35.763278,BUE,RIO,América,2026-10-09,293
2026-09-09 20:34:41.052471,BUE,RIO,América,2026-11-08,217
2026-09-09 20:34:44.677602,BUE,RIO,América,2026-12-08,226
2026-09-09 20:34:48.989347,BUE,RIO,América,2027-01-07,296
2026-09-09 20:34:52.166341,BUE,GRU,América,2026-10-09,223
2026-09-09 20:34:57.149716,BUE,GRU,América,2026-11-08,223
2026-09-09 20:35:00.400003,BUE,GRU,América,2026-12-08,223
2026-09-09 20:35:06.841769,BUE,SCL,América,2026-10-09,176
2026-09-09 20:35:11.526440,BUE,SCL,América,2026-11-08,127
2026-09-09 20:35:14.630007,BUE,SCL,América,2026-12-08,166
2026-09-09 20:35:19.361736,BUE,SCL,América,2027-01-07,162
2026-09-09 20:35:23.986811,BUE,LIM,América,2026-10-09,315
2026-09-09 20:35:27.605517,BUE,LIM,América,2026-11-08,253
2026-09-09 20:35:31.861277,BUE,LIM,América,2026-12-08,205
2026-09-09 20:35:36.460417,BUE,LIM,América,2027-01-07,295
2026-09-09 20:35:39.597871,BUE,BOG,América,2026-10-09,435
2026-09-09 20:35:43.835581,BUE,BOG,América,2026-11-08,283
2026-09-09 20:35:48.556793,BUE,BOG,América,2026-12-08,400
2026-09-09 20:35:51.656727,BUE,BOG,América,2027-01-07,399
2026-09-09 20:35:54.983354,BUE,MEX,América,2026-10-09,655
2026-09-09 20:35:59.505337,BUE,MEX,América,2026-11-08,655
2026-09-09 20:36:07.304976,BUE,MEX,América,2027-01-07,1186
2026-09-09 20:36:12.223990,BUE,MAD,Europa,2026-10-09,914
2026-09-09 20:36:15.193215,BUE,MAD,Europa,2026-11-08,727
2026-09-09 20:36:18.243807,BUE,MAD,Europa,2026-12-08,727
2026-09-09 20:36:21.502915,BUE,MAD,Europa,2027-01-07,1486
2026-09-09 20:36:25.643035,BUE,BCN,Europa,2026-10-09,523
2026-09-09 20:36:30.053303,BUE,BCN,Europa,2026-11-08,443
2026-09-09 20:36:34.317925,BUE,BCN,Europa,2026-12-08,598
2026-09-09 20:36:37.201234,BUE,BCN,Europa,2027-01-07,1562
2026-09-09 20:36:40.283577,BUE,LIS,Europa,2026-10-09,583
2026-09-09 20:36:43.537599,BUE,LIS,Europa,2026-11-08,473
2026-09-09 20:36:46.742345,BUE,LIS,Europa,2026-12-08,634
2026-09-09 20:36:49.455312,BUE,LIS,Europa,2027-01-07,1498
2026-09-09 20:36:53.584607,BUE,ROM,Europa,2026-10-09,571
2026-09-09 20:36:57.925721,BUE,ROM,Europa,2026-11-08,485
2026-09-09 20:37:05.441994,BUE,ROM,Europa,2027-01-07,1767
2026-09-09 20:37:10.709886,BUE,PAR,Europa,2026-10-09,583
2026-09-09 20:37:18.912428,BUE,PAR,Europa,2026-12-08,634
2026-09-09 20:37:24.699049,BUE,PAR,Europa,2027-01-07,1606
2026-09-09 20:37:31.607358,BUE,LON,Europa,2026-11-08,535
2026-09-09 20:37:35.454650,BUE,LON,Europa,2026-12-08,715
2026-09-09 20:37:40.984754,BUE,LON,Europa,2027-01-07,1294
2026-09-09 20:37:43.953781,BUE,AMS,Europa,2026-10-09,614
2026-09-09 20:37:47.857080,BUE,AMS,Europa,2026-11-08,478
2026-09-09 20:37:52.736859,BUE,AMS,Europa,2026-12-08,640
2026-09-09 20:37:55.863370,BUE,AMS,Europa,2027-01-07,1581
2026-09-09 20:38:00.126217,BUE,FRA,Europa,2026-10-09,778
2026-09-09 20:38:04.533514,BUE,FRA,Europa,2026-11-08,724
2026-09-09 20:38:08.738183,BUE,FRA,Europa,2026-12-08,778
2026-09-09 20:38:13.361922,BUE,FRA,Europa,2027-01-07,1760
2026-09-09 20:38:16.254797,BUE,IST,Europa,2026-10-09,804
2026-09-09 20:38:19.680007,BUE,IST,Europa,2026-11-08,1049
2026-09-09 20:38:23.641277,BUE,IST,Europa,2026-12-08,692
2026-09-09 20:38:26.591416,BUE,IST,Europa,2027-01-07,1504
2026-09-09 20:38:30.884927,BUE,ATH,Europa,2026-10-09,640
2026-09-09 20:38:34.567869,BUE,ATH,Europa,2026-11-08,509
2026-09-09 20:38:38.899365,BUE,ATH,Europa,2026-12-08,682
2026-09-09 20:38:41.849800,BUE,ATH,Europa,2027-01-07,1633
2026-09-09 20:38:46.039893,BUE,DXB,Asia,2026-10-09,1127
2026-09-09 20:38:50.690336,BUE,DXB,Asia,2026-11-08,1343
2026-09-09 20:38:54.991178,BUE,DXB,Asia,2026-12-08,1080
2026-09-09 20:38:57.822918,BUE,DXB,Asia,2027-01-07,1284
2026-09-09 20:39:02.415644,BUE,TLV,Asia,2026-10-09,1363
2026-09-09 20:39:07.108006,BUE,TLV,Asia,2026-11-08,1065
2026-09-09 20:39:11.446602,BUE,TLV,Asia,2026-12-08,1071
2026-09-09 20:39:14.294300,BUE,TLV,Asia,2027-01-07,1322
2026-09-09 20:39:18.076623,BUE,DEL,Asia,2026-10-09,1397
2026-09-09 20:39:22.482784,BUE,DEL,Asia,2026-11-08,1667
2026-09-09 20:39:26.911807,BUE,DEL,Asia,2026-12-08,1431
2026-09-09 20:39:30.065155,BUE,DEL,Asia,2027-01-07,1628
2026-09-09 20:39:33.678013,BUE,BKK,Asia,2026-10-09,1380
2026-09-09 20:39:36.743458,BUE,BKK,Asia,2026-11-08,1831
2026-09-09 20:39:41.214002,BUE,BKK,Asia,2026-12-08,1200
2026-09-09 20:39:45.767479,BUE,BKK,Asia,2027-01-07,2165
2026-09-09 20:39:50.288053,BUE,SIN,Asia,2026-10-09,1406
2026-09-09 20:39:53.262631,BUE,SIN,Asia,2026-11-08,1884
2026-09-09 20:39:56.668791,BUE,SIN,Asia,2026-12-08,1441
2026-09-09 20:40:01.402342,BUE,SIN,Asia,2027-01-07,1700
2026-09-09 20:40:05.907958,BUE,HKG,Asia,2026-10-09,1447
2026-09-09 20:40:10.094649,BUE,HKG,Asia,2026-11-08,1813
2026-09-09 20:40:14.844347,BUE,HKG,Asia,2026-12-08,1246
2026-09-09 20:40:18.808055,BUE,HKG,Asia,2027-01-07,1674
2026-09-09 20:40:22.310821,BUE,TYO,Asia,2026-10-09,2007
2026-09-09 20:40:27.916255,BUE,TYO,Asia,2026-11-08,1758
2026-09-09 20:40:31.789072,BUE,TYO,Asia,2026-12-08,1324
2026-09-09 20:40:37.968650,BUE,TYO,Asia,2027-01-07,1510
2026-09-09 20:40:41.389014,BUE,SEL,Asia,2026-10-09,1958
2026-09-09 20:40:51.743310,BUE,SEL,Asia,2026-12-08,1248
2026-09-09 20:41:05.155915,NYC,BUE,América,2026-11-08,454
2026-09-09 20:41:11.102489,NYC,BUE,América,2026-12-08,388
2026-09-09 20:41:14.421627,NYC,BUE,América,2027-01-07,408
2026-09-09 20:41:19.936157,NYC,MIA,América,2026-10-09,186
2026-09-09 20:41:25.611977,NYC,MIA,América,2026-11-08,126
2026-09-09 20:41:28.676188,NYC,MIA,América,2026-12-08,155
2026-09-09 20:41:33.491672,NYC,MIA,América,2027-01-07,170
2026-09-09 20:41:38.259985,NYC,CUN,América,2026-10-09,372
2026-09-09 20:41:42.739541,NYC,CUN,América,2026-11-08,168
2026-09-09 20:41:46.264413,NYC,CUN,América,2026-12-08,132
2026-09-09 20:41:51.699637,NYC,CUN,América,2027-01-07,178
2026-09-09 20:41:56.744854,NYC,PUJ,América,2026-10-09,340
2026-09-09 20:42:00.123355,NYC,PUJ,América,2026-11-08,162
2026-09-09 20:42:07.569500,NYC,PUJ,América,2027-01-07,174
2026-09-09 20:42:11.288425,NYC,RIO,América,2026-10-09,469
2026-09-09 20:42:16.753505,NYC,RIO,América,2026-11-08,414
2026-09-09 20:42:22.453428,NYC,RIO,América,2026-12-08,411
2026-09-09 20:42:25.953891,NYC,RIO,América,2027-01-07,496
2026-09-09 20:42:30.757290,NYC,GRU,América,2026-10-09,623
2026-09-09 20:42:35.949209,NYC,GRU,América,2026-11-08,344
2026-09-09 20:42:41.717025,NYC,GRU,América,2026-12-08,438
2026-09-09 20:42:44.991266,NYC,GRU,América,2027-01-07,397
2026-09-09 20:42:49.629322,NYC,SCL,América,2026-10-09,644
2026-09-09 20:42:55.199466,NYC,SCL,América,2026-11-08,353
2026-09-09 20:42:58.646429,NYC,SCL,América,2026-12-08,248
2026-09-09 20:43:03.794167,NYC,SCL,América,2027-01-07,318
2026-09-09 20:43:08.384224,NYC,LIM,América,2026-10-09,467
2026-09-09 20:43:13.288818,NYC,LIM,América,2026-11-08,291
2026-09-09 20:43:18.253669,NYC,LIM,América,2026-12-08,313
2026-09-09 20:43:24.956257,NYC,BOG,América,2026-10-09,407
2026-09-09 20:43:29.966862,NYC,BOG,América,2026-11-08,296
2026-09-09 20:43:35.458402,NYC,BOG,América,2026-12-08,369
2026-09-09 20:43:40.677232,NYC,BOG,América,2027-01-07,344
2026-09-09 20:43:44.117471,NYC,MEX,América,2026-10-09,254
2026-09-09 20:43:49.228745,NYC,MEX,América,2026-11-08,288
2026-09-09 20:43:52.671304,NYC,MEX,América,2026-12-08,283
2026-09-09 20:43:55.882202,NYC,MEX,América,2027-01-07,344
2026-09-09 20:43:59.236214,NYC,MAD,Europa,2026-10-09,343
2026-09-09 20:44:04.216689,NYC,MAD,Europa,2026-11-08,293
2026-09-09 20:44:09.269742,NYC,MAD,Europa,2026-12-08,292
2026-09-09 20:44:13.128783,NYC,MAD,Europa,2027-01-07,272
2026-09-09 20:44:16.901390,NYC,BCN,Europa,2026-10-09,343
2026-09-09 20:44:21.851803,NYC,BCN,Europa,2026-11-08,293
2026-09-09 20:44:25.664135,NYC,BCN,Europa,2026-12-08,217
2026-09-09 20:44:30.781147,NYC,BCN,Europa,2027-01-07,270
2026-09-09 20:44:35.925226,NYC,LIS,Europa,2026-10-09,440
2026-09-09 20:44:39.429226,NYC,LIS,Europa,2026-11-08,342
