clave,fecha_aviso
BUE-SCL-2026-11-09-20,2026-09-10 16:17:19.781260
BUE-BOG-2026-12-09-20,2026-09-10 16:17:53.138660
BUE-MAD-2026-10-10-30,2026-09-10 16:18:16.561009
BUE-BCN-2026-11-09-20,2026-09-10 16:18:35.165328
BUE-BKK-2026-10-10-20,2026-09-10 16:21:31.735929
NYC-GRU-2026-12-09-30,2026-09-10 16:24:20.987241
BUE-RIO-2026-11-09-20,2026-09-10 20:15:36.100285
BUE-RIO-2026-12-09-20,2026-09-10 20:15:39.902853
BUE-MEX-2026-12-09-20,2026-09-10 20:16:50.439148
BUE-LIS-2026-11-09-20,2026-09-10 20:17:27.242586
BUE-AMS-2026-11-09-20,2026-09-10 20:18:23.141874
BUE-IST-2026-11-09-40,2026-09-10 20:18:49.681794
BUE-ATH-2026-11-09-20,2026-09-10 20:19:02.107838
NYC-BUE-2026-11-09-20,2026-09-10 20:21:06.912940
NYC-RIO-2026-10-10-30,2026-09-10 20:22:03.180306
NYC-LIM-2027-01-08-40,2026-09-10 20:23:00.801708
NYC-BOG-2026-11-09-20,2026-09-10 20:23:09.408800
NYC-MEX-2026-10-10-20,2026-09-10 20:23:19.578377
NYC-MAD-2026-12-09-20,2026-09-10 20:23:41.021033
NYC-AMS-2026-12-09-20,2026-09-10 20:25:14.339412
